,review_id,trip_id,reviewer_id,reviewee_id,rating,comment,reviewed_at
192,193,250,1270,293,4,"Easy pickup, no problems.",2023-06-27 22:32:05
193,194,250,293,1270,3,"Smooth ride, on time.",2023-06-27 22:41:05
195,196,255,1270,1135,4,"Great rider, very polite.",2023-09-06 19:24:41
198,199,258,602,1946,4,Super friendly and helpful.,2023-02-28 10:20:04
199,200,259,506,1946,4,Super friendly and helpful.,2023-11-29 13:30:49
200,201,263,1286,1021,2,"Great driver, very professional!",2022-05-05 07:04:33
201,202,264,1021,1311,4,Very courteous driver.,2023-01-13 03:12:41
202,203,267,1021,201,5,"Great driver, very professional!",2022-08-25 19:24:21
206,207,270,1021,1128,3,Trip was okay.,2022-01-16 20:09:45
207,208,270,1128,1021,3,"Smooth ride, on time.",2022-01-16 21:43:45
208,209,272,1021,996,3,Got there safely.,2023-12-24 18:01:19
210,211,273,1794,1021,4,"Smooth ride, on time.",2023-03-10 13:48:30
213,214,277,391,1035,5,"5 stars, highly recommend!",2023-09-20 03:32:01
214,215,278,391,1965,3,Average experience.,2023-07-23 09:09:47
215,216,280,391,1623,4,"Great driver, very professional!",2022-07-28 05:19:17
218,219,288,482,201,5,"Great driver, very professional!",2023-05-08 12:40:18
219,220,288,201,482,3,"Great driver, very professional!",2023-05-08 12:47:18
221,222,290,851,1450,4,Very clean car.,2024-02-20 09:45:27
223,224,293,381,585,4,Loved the music selection!,2022-03-20 21:46:52
225,226,297,119,1553,4,Very clean car.,2022-05-24 10:00:13
226,227,298,1553,630,2,Had trouble finding the pickup spot.,2022-02-05 15:29:09
229,230,301,1443,1553,3,"Excellent service, will ride again.",2022-05-25 08:16:18
230,231,303,1929,1955,5,Very courteous driver.,2023-03-13 12:47:52
231,232,307,1929,986,4,Car was spotless.,2022-01-09 02:52:30
233,234,309,1350,1929,4,Super friendly and helpful.,2023-04-28 22:57:12
235,236,311,1654,1929,2,"Great driver, very professional!",2023-07-20 15:25:31
237,238,314,974,1929,4,"Excellent service, will ride again.",2023-11-14 15:10:51
238,239,316,1929,1001,5,Loved the music selection!,2023-09-13 22:32:35
239,240,316,1001,1929,3,"Excellent service, will ride again.",2023-09-13 23:20:35
240,241,318,1929,593,4,"5 stars, highly recommend!",2023-02-28 15:53:44
242,243,320,1207,1929,3,Very clean car.,2023-08-08 21:10:46
244,245,322,5,1929,3,Very clean car.,2022-10-29 00:05:54
245,246,323,1929,1197,5,"5 stars, highly recommend!",2023-10-02 19:51:30
247,248,326,1929,488,3,"OK trip, nothing special.",2022-08-03 17:24:42
249,250,328,417,1649,2,Driver was rude.,2023-02-25 21:08:46
251,252,329,417,1558,5,Fast and safe driver.,2022-11-27 17:07:35
255,256,334,417,957,3,Nothing to complain about.,2022-07-13 18:12:33
256,257,335,417,1356,5,"5 stars, highly recommend!",2022-05-09 16:21:44
257,258,335,1356,417,3,"Great driver, very professional!",2022-05-09 17:08:44
259,260,338,136,417,3,Super friendly and helpful.,2023-07-19 08:24:02
260,261,340,417,1011,4,"5 stars, highly recommend!",2024-05-20 12:59:59
261,262,341,1198,417,4,"Smooth ride, on time.",2024-05-12 03:26:04
262,263,345,417,1373,5,Super friendly and helpful.,2022-04-05 11:35:50
263,264,346,651,1386,4,Very courteous driver.,2022-09-13 03:04:59
269,270,356,1592,1471,3,Nothing to complain about.,2023-09-14 19:22:01
270,271,357,1592,62,4,Car was spotless.,2024-06-19 16:22:13
271,272,357,62,1592,3,"Smooth ride, on time.",2024-06-19 16:06:13
273,274,358,461,1592,3,Very clean car.,2024-06-26 07:59:36
274,275,359,1592,1328,4,"Smooth ride, on time.",2024-04-14 21:22:12
275,276,359,1328,1592,4,"Smooth ride, on time.",2024-04-14 22:11:12
276,277,360,412,627,4,Very clean car.,2022-01-20 16:56:08
277,278,361,627,883,4,"Quick and efficient, thanks!",2023-10-17 00:15:05
278,279,361,883,627,3,"Smooth ride, on time.",2023-10-17 00:19:05
279,280,362,627,1968,5,Very comfortable ride.,2023-07-26 04:01:05
281,282,364,217,1053,2,Driver was rude.,2024-05-13 22:03:15
282,283,364,1053,217,4,Very clean car.,2024-05-13 22:44:15
283,284,365,1149,452,3,Nothing to complain about.,2022-11-25 04:17:33
286,287,367,104,913,4,"Excellent service, will ride again.",2022-02-27 08:37:52
289,290,370,1290,1700,4,Very courteous driver.,2023-09-15 02:41:20
290,291,370,1700,1290,4,"Excellent service, will ride again.",2023-09-15 03:53:20
291,292,371,1290,1736,4,"Easy pickup, no problems.",2023-06-08 07:52:36
292,293,372,766,1290,3,"Smooth ride, on time.",2022-04-26 18:16:17
293,294,373,1290,1948,5,Very clean car.,2022-11-14 00:50:44
294,295,374,1937,1290,4,Very clean car.,2023-03-19 21:35:27
295,296,375,1290,318,5,Very courteous driver.,2022-01-17 04:19:53
296,297,376,1555,1290,4,Super friendly and helpful.,2023-10-05 05:28:03
298,299,378,1290,664,4,"Perfect trip, no issues.",2024-02-10 01:51:41
299,300,378,664,1290,5,"Great driver, very professional!",2024-02-10 00:42:41
300,301,379,1290,929,3,Decent experience.,2023-02-27 11:20:21
301,302,380,1290,1410,5,"Smooth ride, on time.",2023-11-16 07:32:57
302,303,381,1290,957,4,"Excellent service, will ride again.",2022-05-17 13:45:40
304,305,382,1290,510,2,Driver was rude.,2023-11-23 11:21:39
305,306,382,510,1290,4,Very clean car.,2023-11-23 10:50:39
309,310,388,164,1694,4,"Great driver, very professional!",2022-05-07 02:04:37
310,311,389,1302,1694,3,"Excellent service, will ride again.",2023-06-30 13:23:24
311,312,391,1694,1651,5,"Easy pickup, no problems.",2022-06-06 01:41:25
315,316,397,741,108,4,"Smooth ride, on time.",2022-10-30 13:54:12
318,319,401,1429,1091,4,"5 stars, highly recommend!",2022-07-03 03:59:20
320,321,402,1544,1164,3,Super friendly and helpful.,2022-12-11 10:35:08
322,323,405,1196,1164,4,Very clean car.,2022-02-17 22:48:20
323,324,408,1164,1035,4,"Great rider, very polite.",2023-09-20 13:40:39
325,326,411,1164,957,4,Very clean car.,2023-07-12 22:24:22
327,328,414,1164,789,3,Trip was okay.,2023-11-24 21:59:35
328,329,414,789,1164,4,Super friendly and helpful.,2023-11-24 20:58:35
329,330,415,1164,866,4,"Great driver, very professional!",2023-04-25 05:34:59
330,331,415,866,1164,4,"Excellent service, will ride again.",2023-04-25 04:12:59
332,333,418,1869,1164,4,Super friendly and helpful.,2022-02-22 16:20:18
334,335,421,1413,1257,3,Super friendly and helpful.,2023-03-24 16:41:48
336,337,428,1257,1981,5,"Excellent service, will ride again.",2022-10-31 14:57:53
338,339,431,1257,693,3,Nothing to complain about.,2023-09-09 08:26:29
339,340,432,1257,1981,4,Fast and safe driver.,2022-05-03 19:01:04
340,341,435,40,1257,3,Super friendly and helpful.,2022-08-10 03:39:37
342,343,438,1257,1134,3,Decent experience.,2023-04-03 13:30:16
343,344,439,1257,1724,3,Acceptable ride.,2024-03-24 05:48:51
345,346,441,860,1257,4,"Great driver, very professional!",2022-11-30 02:30:03
347,348,443,1257,15,4,Loved the music selection!,2023-09-08 18:29:54
351,352,450,1720,759,4,Car was spotless.,2023-01-01 05:07:15
352,353,450,759,1720,4,Very clean car.,2023-01-01 06:01:15
356,357,457,702,1197,3,Acceptable ride.,2022-06-15 03:42:37
357,358,458,702,647,4,Car was spotless.,2022-08-31 19:35:04
358,359,458,647,702,4,Very clean car.,2022-08-31 19:27:04
360,361,460,702,1684,3,Got there safely.,2023-12-07 14:49:25
366,367,470,702,1207,4,"Great rider, very polite.",2024-02-09 06:38:57
367,368,470,1207,702,4,Super friendly and helpful.,2024-02-09 05:59:57
370,371,472,1293,702,1,"Great driver, very professional!",2022-01-12 10:39:32
375,376,480,872,630,2,Driver was late.,2022-06-28 15:57:23
376,377,481,872,190,4,"Excellent service, will ride again.",2023-10-26 13:34:46
377,378,481,190,872,4,"Great driver, very professional!",2023-10-26 13:15:46
379,380,483,1084,1269,5,"Smooth ride, on time.",2023-12-28 03:04:45
381,382,488,1999,1909,3,"Excellent service, will ride again.",2023-11-17 16:02:17
382,383,492,622,1984,3,"OK trip, nothing special.",2024-05-05 19:06:39
385,386,494,622,1608,3,Trip was okay.,2023-07-16 19:13:18
386,387,495,622,957,5,Very comfortable ride.,2022-12-07 04:47:22
387,388,497,1549,878,4,Car was spotless.,2022-09-11 19:35:08
388,389,498,1549,408,2,Had trouble finding the pickup spot.,2022-11-08 10:57:30
389,390,498,408,1549,3,Super friendly and helpful.,2022-11-08 12:08:30
390,391,499,1549,1227,5,Super friendly and helpful.,2023-04-13 13:31:10
391,392,499,1227,1549,3,"Great driver, very professional!",2023-04-13 13:29:10
395,396,507,1549,52,4,"Perfect trip, no issues.",2023-01-04 17:04:42
399,400,513,393,1186,3,Super friendly and helpful.,2022-07-02 11:28:07
400,401,514,1186,1206,5,"Quick and efficient, thanks!",2022-02-02 09:30:05
401,402,515,1186,412,3,Nothing to complain about.,2023-07-26 10:48:40
402,403,516,705,1186,3,Super friendly and helpful.,2023-06-07 16:49:39
403,404,517,1186,1380,3,Trip was okay.,2023-10-21 15:38:26
404,405,518,1186,1881,5,Very clean car.,2022-03-25 21:00:31
406,407,523,1186,544,5,"Easy pickup, no problems.",2022-03-09 22:56:40
409,410,528,1186,293,4,"Excellent service, will ride again.",2023-04-22 21:06:39
410,411,529,1186,1117,4,Super friendly and helpful.,2023-09-24 11:56:59
411,412,530,1186,1343,4,"Excellent service, will ride again.",2024-05-30 01:26:34
413,414,534,1186,759,4,"Great driver, very professional!",2022-08-15 16:07:31
414,415,534,759,1186,4,"Smooth ride, on time.",2022-08-15 17:25:31
415,416,535,1186,1324,3,Got there safely.,2023-12-28 14:57:27
416,417,536,1186,1477,4,Fast and safe driver.,2024-02-04 06:47:43
417,418,538,1186,1606,4,Very comfortable ride.,2024-02-20 13:21:52
418,419,539,1606,1186,3,Very clean car.,2023-02-10 17:12:25
420,421,541,1492,1186,3,Very clean car.,2022-08-23 14:54:43
421,422,542,1186,498,4,Car was spotless.,2022-03-20 19:59:30
423,424,543,570,1186,3,"Smooth ride, on time.",2023-09-28 05:40:18
424,425,544,1186,1841,4,"Easy pickup, no problems.",2022-10-16 10:14:32
425,426,545,1186,1324,3,Got there safely.,2022-03-16 01:26:11
427,428,549,1186,1991,3,"OK trip, nothing special.",2022-07-11 22:29:53
432,433,552,1492,1186,3,Super friendly and helpful.,2023-09-11 12:58:48
433,434,553,1186,940,5,Very clean car.,2023-01-25 07:46:30
434,435,553,940,1186,3,"Smooth ride, on time.",2023-01-25 07:35:30
436,437,554,1507,1186,3,"Great driver, very professional!",2024-01-05 23:58:10
437,438,555,1186,1060,3,Got there safely.,2024-01-28 06:15:30
440,441,561,1186,1812,3,"OK trip, nothing special.",2023-07-22 01:48:29
441,442,566,1186,132,3,Trip was okay.,2022-05-27 16:46:14
444,445,572,1186,957,4,Very comfortable ride.,2023-11-09 13:31:33
445,446,573,1186,147,4,Very comfortable ride.,2022-04-16 18:23:37
446,447,575,1410,1186,4,Very clean car.,2022-05-12 13:57:01
447,448,577,1186,1099,4,"Smooth ride, on time.",2023-07-17 10:17:16
448,449,578,1186,585,4,"5 stars, highly recommend!",2023-07-27 09:34:29
450,451,584,1373,1186,2,"Smooth ride, on time.",2022-05-19 10:51:06
453,454,590,1186,1141,4,Loved the music selection!,2023-05-21 21:51:51
454,455,592,1186,199,4,Super friendly and helpful.,2023-07-01 10:22:44
457,458,598,1186,1775,5,"Quick and efficient, thanks!",2023-05-14 15:57:17
458,459,599,1186,1547,5,Very courteous driver.,2023-12-13 15:07:57
459,460,600,665,1186,3,Super friendly and helpful.,2022-10-19 05:32:57
462,463,603,1380,1186,3,"Great driver, very professional!",2022-03-19 03:53:03
467,468,609,1186,1825,5,Very clean car.,2022-06-09 12:21:49
468,469,610,1352,1186,3,"Smooth ride, on time.",2022-01-11 18:55:28
469,470,612,726,738,3,Super friendly and helpful.,2023-12-01 10:50:22
471,472,616,1400,738,3,Very clean car.,2022-06-02 23:27:47
472,473,617,738,898,3,Acceptable ride.,2023-01-02 09:34:08
477,478,626,738,1825,4,"Great rider, very polite.",2022-10-24 08:07:06
480,481,630,408,738,4,Very clean car.,2022-01-10 15:01:28
481,482,631,738,1413,4,"Excellent service, will ride again.",2023-06-23 07:50:19
482,483,631,1413,738,2,"Excellent service, will ride again.",2023-06-23 09:39:19
483,484,632,738,1574,3,Average experience.,2024-06-18 05:08:54
484,485,632,1574,738,3,"Great driver, very professional!",2024-06-18 06:58:54
486,487,634,738,436,5,Very comfortable ride.,2024-06-22 22:45:56
487,488,635,738,97,4,Very courteous driver.,2023-04-25 11:24:44
489,490,637,738,1574,3,Average experience.,2024-01-27 09:39:17
490,491,638,738,1328,4,Super friendly and helpful.,2024-04-26 16:39:39
493,494,642,738,777,4,Car was spotless.,2023-02-08 02:31:25
494,495,642,777,738,2,Super friendly and helpful.,2023-02-08 04:57:25
495,496,646,467,738,3,"Smooth ride, on time.",2022-07-19 12:22:38
496,497,647,1937,738,2,"Smooth ride, on time.",2022-06-12 07:36:17
497,498,648,738,1781,3,Acceptable ride.,2022-06-21 19:09:28
498,499,652,738,748,4,"Excellent service, will ride again.",2022-07-20 03:27:21
500,501,655,738,898,3,Decent experience.,2023-01-21 06:49:49
506,507,670,1763,1924,2,"Smooth ride, on time.",2022-05-25 21:28:29
508,509,674,1584,1924,4,"Great driver, very professional!",2022-02-12 02:08:28
509,510,675,1924,860,5,"Great driver, very professional!",2022-07-19 20:25:40
512,513,681,941,1924,4,Very clean car.,2023-05-07 05:16:37
513,514,682,1924,1331,4,"Excellent service, will ride again.",2023-02-07 19:29:49
515,516,684,104,1924,3,"Smooth ride, on time.",2024-04-06 15:00:36
516,517,685,1924,664,3,Acceptable ride.,2024-02-11 21:39:13
517,518,687,902,974,5,Loved the music selection!,2023-11-07 22:35:26
518,519,688,264,452,5,Loved the music selection!,2022-08-11 18:05:13
519,520,688,452,264,2,"Great driver, very professional!",2022-08-11 18:49:13
521,522,689,1394,264,3,Super friendly and helpful.,2022-07-24 15:02:29
522,523,690,264,162,5,Very courteous driver.,2024-04-05 05:46:12
523,524,691,264,1380,4,"Quick and efficient, thanks!",2024-02-15 20:07:00
524,525,692,1889,264,4,Very clean car.,2023-07-05 00:05:08
525,526,693,1640,264,2,Super friendly and helpful.,2023-11-14 16:44:30
526,527,695,264,494,5,Very clean car.,2023-03-09 04:56:26
527,528,697,264,331,4,Very clean car.,2023-07-08 21:40:01
528,529,698,1482,264,4,Super friendly and helpful.,2022-11-17 13:54:07
531,532,702,264,192,4,Car was spotless.,2022-06-23 02:38:40
534,535,703,941,264,4,"Excellent service, will ride again.",2022-03-22 10:30:30
536,537,704,1170,264,4,"Great driver, very professional!",2024-01-10 23:52:37
537,538,705,264,1507,5,"Quick and efficient, thanks!",2023-08-03 16:43:29
538,539,705,1507,264,3,"Great driver, very professional!",2023-08-03 16:40:29
542,543,717,264,1947,4,Very clean car.,2024-05-25 16:42:56
543,544,719,264,52,4,"5 stars, highly recommend!",2023-11-27 09:35:35
545,546,721,539,264,3,"Smooth ride, on time.",2022-08-17 19:19:07
546,547,722,1100,264,3,"Smooth ride, on time.",2022-11-09 04:55:13
549,550,726,264,1869,4,Super friendly and helpful.,2022-01-11 18:15:10
552,553,729,485,264,4,"Smooth ride, on time.",2023-11-17 11:31:50
553,554,732,264,147,2,Car smelled bad.,2024-01-13 14:34:51
556,557,734,412,264,5,"Excellent service, will ride again.",2023-01-25 11:40:44
560,561,739,264,1394,3,Trip was okay.,2023-11-15 19:38:16
561,562,742,264,1302,4,"Smooth ride, on time.",2024-04-02 03:45:31
562,563,743,919,264,3,"Excellent service, will ride again.",2022-04-30 17:33:14
564,565,746,264,1841,4,Very comfortable ride.,2023-01-07 11:26:12
566,567,749,264,1311,3,Decent experience.,2023-05-09 03:47:49
567,568,750,264,1356,4,"Easy pickup, no problems.",2023-05-25 21:19:53
568,569,751,593,264,4,Super friendly and helpful.,2023-07-07 03:46:04
570,571,753,264,1471,4,"Quick and efficient, thanks!",2023-04-22 05:23:03
571,572,756,1336,264,3,Very clean car.,2022-07-17 16:49:50
573,574,758,1987,1635,4,Super friendly and helpful.,2022-05-26 22:36:58
574,575,760,1479,756,2,"Smooth ride, on time.",2023-01-01 03:47:24
577,578,763,756,1044,4,Loved the music selection!,2022-08-06 02:49:39
579,580,766,756,147,3,Trip was okay.,2024-01-10 04:18:43
580,581,769,756,31,5,Car was spotless.,2024-01-05 05:00:53
582,583,770,756,932,4,Car was spotless.,2024-01-06 00:47:11
583,584,770,932,756,4,"Great driver, very professional!",2024-01-06 01:23:11
584,585,771,756,1649,3,Trip was okay.,2022-06-23 22:31:34
589,590,777,1301,756,4,Super friendly and helpful.,2022-03-03 10:32:45
590,591,779,1968,756,4,Very clean car.,2023-01-11 00:07:20
591,592,782,1995,756,3,Super friendly and helpful.,2024-06-02 19:03:08
592,593,783,567,1894,4,"5 stars, highly recommend!",2023-05-05 00:26:37
593,594,784,359,187,5,Super friendly and helpful.,2022-05-24 20:36:37
594,595,786,705,1784,3,Super friendly and helpful.,2022-03-13 23:17:42
595,596,787,1784,1948,4,"Great rider, very polite.",2022-08-19 21:36:30
596,597,788,1784,1001,4,Very comfortable ride.,2023-09-05 09:48:21
597,598,788,1001,1784,3,"Smooth ride, on time.",2023-09-05 09:47:21
599,600,789,1328,1784,4,"Excellent service, will ride again.",2023-12-28 19:27:15
601,602,791,1812,1784,4,Super friendly and helpful.,2023-04-26 14:18:09
603,604,793,331,1784,3,Super friendly and helpful.,2023-08-14 22:14:36
604,605,794,1784,969,3,Nothing to complain about.,2023-01-16 17:03:12
605,606,795,1784,494,4,"Easy pickup, no problems.",2023-02-25 05:41:49
606,607,795,494,1784,3,Very clean car.,2023-02-25 08:00:49
608,609,798,1784,202,4,"5 stars, highly recommend!",2023-01-31 21:48:23
610,611,800,1654,35,3,"Great driver, very professional!",2023-01-20 16:03:34
611,612,802,35,1865,5,Loved the music selection!,2022-04-30 09:02:26
612,613,802,1865,35,4,"Great driver, very professional!",2022-04-30 10:12:26
613,614,803,35,1991,3,"OK trip, nothing special.",2022-06-04 11:12:50
614,615,803,1991,35,4,"Excellent service, will ride again.",2022-06-04 13:02:50
616,617,806,35,430,4,"Great driver, very professional!",2023-09-12 17:07:59
619,620,809,35,834,4,Very courteous driver.,2024-05-08 06:22:45
622,623,812,35,1492,5,Super friendly and helpful.,2022-12-29 16:17:10
623,624,814,35,959,4,Very clean car.,2023-08-24 03:01:28
624,625,815,690,820,3,Very clean car.,2023-10-02 05:37:24
625,626,816,1122,1865,3,Decent experience.,2023-11-19 08:23:34
629,630,825,1122,494,5,Very clean car.,2022-05-01 15:22:30
630,631,826,1122,31,5,"Perfect trip, no issues.",2022-10-31 08:24:20
631,632,827,1122,1889,3,Average experience.,2022-05-05 17:25:07
632,633,829,1122,1471,4,"Perfect trip, no issues.",2022-02-15 03:01:47
633,634,829,1471,1122,2,"Great driver, very professional!",2022-02-15 03:09:47
635,636,833,1122,62,4,Very clean car.,2022-10-23 12:28:54
636,637,833,62,1122,3,"Excellent service, will ride again.",2022-10-23 12:50:54
637,638,836,1210,1122,4,"Smooth ride, on time.",2022-07-23 09:36:55
